,food_name,food_group,food_sub_group,serving_measure,nutrient,Sodium_amount,nutrient_unit
93,"Sushi, preserved radish","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (8.5g),Sodium,47.34,mg
94,"Sushi, raw tuna, roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (18g),Sodium,48.33,mg
95,"Sushi, roll, futomaki","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (52g),Sodium,228.12,mg
96,Sweet and sour chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (456g),Sodium,1381.68,mg
97,"Tangyuen with red bean filling, soup","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (337g),Sodium,33.03,mg
98,"Tea, bubble","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (400g),Sodium,8,mg
99,Teh tarik,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (363g),Sodium,36.66,mg
100,Thai chicken feet salad,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (284g),Sodium,1692.64,mg
101,Tofu with minced pork and mushroom,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (126.97g),Sodium,398.42,mg
102,"Vadai, kacang dal kuning","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (50g),Sodium,264.5,mg
103,Vegetable dalcha,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (325g),Sodium,1277.25,mg
104,"Waffles, with red bean filling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (131g),Sodium,56.46,mg
105,"Wanton soup, with chye sim","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (436g),Sodium,1783.24,mg
106,Watercress with pork ribs soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (456.9g),Sodium,1366.13,mg
107,Yu sheng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-23cm (387g),Sodium,650.16,mg
108,chicken kebab,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (230g),Sodium,752.1,mg
